277) at least three (or four) people have birthday at the same day, probability: 1.0
278) at least three (or four) people have birthday at the same day, probability: 1.0
279) at least three (or four) people have birthday at the same day, probability: 1.0
280) at least three (or four) people have birthday at the same day, probability: 1.0
281) at least three (or four) people have birthday at the same day, probability: 1.0
282) at least three (or four) people have birthday at the same day, probability: 1.0
283) at least three (or four) people have birthday at the same day, probability: 1.0
284) at least three (or four) people have birthday at the same day, probability: 1.0
285) at least three (or four) people have birthday at the same day, probability: 1.0
286) at least three (or four) people have birthday at the same day, probability: 1.0
287) at least three (or four) people have birthday at the same day, probability: 1.0
288) at least three (or four) people have birthday at the same day, probability: 1.0
289) at least three (or four) people have birthday at the same day, probability: 1.0
290) at least three (or four) people have birthday at the same day, probability: 1.0
291) at least three (or four) people have birthday at the same day, probability: 1.0
292) at least three (or four) people have birthday at the same day, probability: 1.0
293) at least three (or four) people have birthday at the same day, probability: 1.0
294) at least three (or four) people have birthday at the same day, probability: 1.0
295) at least three (or four) people have birthday at the same day, probability: 1.0
296) at least three (or four) people have birthday at the same day, probability: 1.0
297) at least three (or four) people have birthday at the same day, probability: 1.0
298) at least three (or four) people have birthday at the same day, probability: 1.0
299) at least three (or four) people have birthday at the same day, probability: 1.0
300) at least three (or four) people have birthday at the same day, probability: 1.0
301) at least three (or four) people have birthday at the same day, probability: 1.0
302) at least three (or four) people have birthday at the same day, probability: 1.0
303) at least three (or four) people have birthday at the same day, probability: 1.0
304) at least three (or four) people have birthday at the same day, probability: 1.0
305) at least three (or four) people have birthday at the same day, probability: 1.0
306) at least three (or four) people have birthday at the same day, probability: 1.0
307) at least three (or four) people have birthday at the same day, probability: 1.0
308) at least three (or four) people have birthday at the same day, probability: 1.0
309) at least three (or four) people have birthday at the same day, probability: 1.0
310) at least three (or four) people have birthday at the same day, probability: 1.0
311) at least three (or four) people have birthday at the same day, probability: 1.0
312) at least three (or four) people have birthday at the same day, probability: 1.0
313) at least three (or four) people have birthday at the same day, probability: 1.0
314) at least three (or four) people have birthday at the same day, probability: 1.0
315) at least three (or four) people have birthday at the same day, probability: 1.0
316) at least three (or four) people have birthday at the same day, probability: 1.0
317) at least three (or four) people have birthday at the same day, probability: 1.0
318) at least three (or four) people have birthday at the same day, probability: 1.0
319) at least three (or four) people have birthday at the same day, probability: 1.0
320) at least three (or four) people have birthday at the same day, probability: 1.0
321) at least three (or four) people have birthday at the same day, probability: 1.0
322) at least three (or four) people have birthday at the same day, probability: 1.0
323) at least three (or four) people have birthday at the same day, probability: 1.0
324) at least three (or four) people have birthday at the same day, probability: 1.0
325) at least three (or four) people have birthday at the same day, probability: 1.0
326) at least three (or four) people have birthday at the same day, probability: 1.0
327) at least three (or four) people have birthday at the same day, probability: 1.0
328) at least three (or four) people have birthday at the same day, probability: 1.0
329) at least three (or four) people have birthday at the same day, probability: 1.0
330) at least three (or four) people have birthday at the same day, probability: 1.0
331) at least three (or four) people have birthday at the same day, probability: 1.0
332) at least three (or four) people have birthday at the same day, probability: 1.0
333) at least three (or four) people have birthday at the same day, probability: 1.0
334) at least three (or four) people have birthday at the same day, probability: 1.0
335) at least three (or four) people have birthday at the same day, probability: 1.0
336) at least three (or four) people have birthday at the same day, probability: 1.0
337) at least three (or four) people have birthday at the same day, probability: 1.0
338) at least three (or four) people have birthday at the same day, probability: 1.0
339) at least three (or four) people have birthday at the same day, probability: 1.0
340) at least three (or four) people have birthday at the same day, probability: 1.0
341) at least three (or four) people have birthday at the same day, probability: 1.0
342) at least three (or four) people have birthday at the same day, probability: 1.0
343) at least three (or four) people have birthday at the same day, probability: 1.0
344) at least three (or four) people have birthday at the same day, probability: 1.0
345) at least three (or four) people have birthday at the same day, probability: 1.0
346) at least three (or four) people have birthday at the same day, probability: 1.0
347) at least three (or four) people have birthday at the same day, probability: 1.0
348) at least three (or four) people have birthday at the same day, probability: 1.0
349) at least three (or four) people have birthday at the same day, probability: 1.0
350) at least three (or four) people have birthday at the same day, probability: 1.0
351) at least three (or four) people have birthday at the same day, probability: 1.0
352) at least three (or four) people have birthday at the same day, probability: 1.0
353) at least three (or four) people have birthday at the same day, probability: 1.0
354) at least three (or four) people have birthday at the same day, probability: 1.0
